term,freq_clickbait,freq_nonclickbait,p_clickbait,p_nonclickbait,log_odds,dominance,ratio_cb_non
ting,39,0,0.000590937966286989,1.220703125e-05,3.8796989302246487,0.0005787309350369891,40.0
emak,33,0,0.0005022972713439407,1.220703125e-05,3.7171800007268736,0.0004900902400939407,34.0
bagaimana,29,0,0.00044320347471524176,1.220703125e-05,3.5920168577728675,0.00043099644346524175,30.0
gemas,22,0,0.0003397893306150187,1.220703125e-05,3.326313692039862,0.0003275822993650187,23.0
tuai,42,1,0.0006352583137585132,2.44140625e-05,3.2588724112443295,0.0006108442512585132,21.5
begini,171,8,0.0025410332550340527,0.00010986328125,3.141089375587946,0.002431169973784053,19.11111111111111
idol,37,1,0.0005613910679726396,2.44140625e-05,3.1352584552771527,0.0005369770054726396,19.0
berapa,18,0,0.0002806955339863198,1.220703125e-05,3.1352584552771527,0.0002684885027363198,19.0
cibir,17,0,0.00026592208482914504,1.220703125e-05,3.081191234006877,0.00025371505357914503,18.0
intip,50,2,0.000753445907015911,3.662109375e-05,3.024032820166928,0.000716824813265911,17.0
ramal,46,2,0.0006943521103872121,3.662109375e-05,2.9423547891526614,0.0006577310166372122,15.666666666666666
seksi,46,2,0.0006943521103872121,3.662109375e-05,2.9423547891526614,0.0006577310166372122,15.666666666666666
tips,75,4,0.0011227821359452792,6.103515625e-05,2.912114903962943,0.0010617469796952792,15.2
vagabond,14,0,0.00022160173735762088,1.220703125e-05,2.898869677212922,0.00020939470610762087,15.0
umbar,14,0,0.00022160173735762088,1.220703125e-05,2.898869677212922,0.00020939470610762087,15.0
imut,14,0,0.00022160173735762088,1.220703125e-05,2.898869677212922,0.00020939470610762087,15.0
taurus,13,0,0.00020682828820044617,1.220703125e-05,2.829876805725971,0.00019462125695044616,14.0
gemini,13,0,0.00020682828820044617,1.220703125e-05,2.829876805725971,0.00019462125695044616,14.0
sm,13,0,0.00020682828820044617,1.220703125e-05,2.829876805725971,0.00019462125695044616,14.0
malah,68,4,0.0010193679918450561,6.103515625e-05,2.815488068273871,0.0009583328355950561,13.8
chen,12,0,0.00019205483904327143,1.220703125e-05,2.7557688335722488,0.00017984780779327142,13.0
miris,12,0,0.00019205483904327143,1.220703125e-05,2.7557688335722488,0.00017984780779327142,13.0
respon,12,0,0.00019205483904327143,1.220703125e-05,2.7557688335722488,0.00017984780779327142,13.0
kocak,24,1,0.00036933622892936814,2.44140625e-05,2.7165481204189676,0.0003449221664293681,12.5
hun,11,0,0.00017728138988609671,1.220703125e-05,2.6757261258987124,0.0001650743586360967,12.0
endgame,11,0,0.00017728138988609671,1.220703125e-05,2.6757261258987124,0.0001650743586360967,12.0
irene,11,0,0.00017728138988609671,1.220703125e-05,2.6757261258987124,0.0001650743586360967,12.0
kuak,11,0,0.00017728138988609671,1.220703125e-05,2.6757261258987124,0.0001650743586360967,12.0
intim,11,0,0.00017728138988609671,1.220703125e-05,2.6757261258987124,0.0001650743586360967,12.0
ejek,11,0,0.00017728138988609671,1.220703125e-05,2.6757261258987124,0.0001650743586360967,12.0
meldianti,11,0,0.00017728138988609671,1.220703125e-05,2.6757261258987124,0.0001650743586360967,12.0
zodiak,115,9,0.0017137201022322682,0.0001220703125,2.641824574223031,0.0015916497897322682,11.6
netter,22,1,0.0003397893306150187,2.44140625e-05,2.6331665114799168,0.0003153752681150187,11.5
banget,21,1,0.00032501588145784395,2.44140625e-05,2.5887147489090827,0.0003006018189578439,11.0
baper,10,0,0.00016250794072892197,1.220703125e-05,2.5887147489090827,0.00015030090947892196,11.0
tengkar,10,0,0.00016250794072892197,1.220703125e-05,2.5887147489090827,0.00015030090947892196,11.0
sadis,10,0,0.00016250794072892197,1.220703125e-05,2.5887147489090827,0.00015030090947892196,11.0
bra,10,0,0.00016250794072892197,1.220703125e-05,2.5887147489090827,0.00015030090947892196,11.0
viral,128,11,0.0019057749412755396,0.000146484375,2.565725230684384,0.0017592905662755396,10.75
